您的数据匹配到,
重庆,
省厅,
海黄州,
市局,
区厅,
北京,
农四师,
农十师,
农十四师,
农十二师,
农十三师,
农十一师,
农六师,
农八师,
农五师,
农二师,
农九师,
农三师,
农七师,
农一师,
兵团总部,
七台河,七台河市(黑龙江省)
三亚,三亚市(海南省)
三明,三明市(福建省)
三门峡,三门峡市(河南省)
上饶,上饶市(江西省)
东莞,东莞市(广东省)
东营,东营市(山东省)
中卫,中卫市(宁夏回族自治区)
中山,中山市(广东省)
临夏,临夏回族自治州(甘肃省)
临汾,临汾市(山西省)
临沂,临沂市(山东省)
临沧,临沧市(云南省)
丹东,丹东市(辽宁省)
丽水,丽水市(浙江省)
丽江,丽江市(云南省)
乌兰察布,乌兰察布市(内蒙古自治区)
乌海,乌海市(内蒙古自治区)
乌鲁木齐,乌鲁木齐市(新疆维吾尔自治区)
乐山,乐山市(四川省)
九江,九江市(江西省)
云浮,云浮市(广东省)
仙桃,仙桃市(湖北省)
伊春,伊春市(黑龙江省)
伊犁,伊犁哈萨克自治州(新疆维吾尔自治区)
佛山,佛山市(广东省)
佳木斯,佳木斯市(黑龙江省)
保定,保定市(河北省)
保山,保山市(云南省)
信阳,信阳市(河南省)
克孜勒苏,克孜勒苏柯尔克孜自治州(新疆维吾尔自治区)
克拉玛依,克拉玛依市(新疆维吾尔自治区)
六安,六安市(安徽省)
六盘水,六盘水市(贵州省)
兰州,兰州市(甘肃省)
兴安盟,兴安盟(内蒙古自治区)
内江,内江市(四川省)
凉山,凉山彝族自治州(四川省)
包头,包头市(内蒙古自治区)
北海,北海市(广西壮族自治区)
十堰,十堰市(湖北省)
南京,南京市(江苏省)
南充,南充市(四川省)
南宁,南宁市(广西壮族自治区)
南平,南平市(福建省)
南昌,南昌市(江西省)
南通,南通市(江苏省)
南阳,南阳市(河南省)
博尔塔拉,博尔塔拉蒙古自治州(新疆维吾尔自治区)
厦门,厦门市(福建省)
双鸭山,双鸭山市(黑龙江省)
台州,台州市(浙江省)
合肥,合肥市(安徽省)
吉安,吉安市(江西省)
吉林,吉林市(吉林省)
吐鲁番,吐鲁番地区(新疆维吾尔自治区)
吕梁,吕梁市(山西省)
吴忠,吴忠市(宁夏回族自治区)
周口,周口市(河南省)
呼伦贝尔,呼伦贝尔市(内蒙古自治区)
呼和浩特,呼和浩特市(内蒙古自治区)
和田,和田地区(新疆维吾尔自治区)
咸宁,咸宁市(湖北省)
咸阳,咸阳市(陕西省)
哈密,哈密地区(新疆维吾尔自治区)
哈尔滨,哈尔滨市(黑龙江省)
唐山,唐山市(河北省)
商丘,商丘市(河南省)
商洛,商洛市(陕西省)
喀什,喀什地区(新疆维吾尔自治区)
嘉兴,嘉兴市(浙江省)
嘉峪关,嘉峪关市(甘肃省)
四平,四平市(吉林省)
固原,固原市(宁夏回族自治区)
塔城,塔城地区(新疆维吾尔自治区)
大兴安岭,大兴安岭地区(黑龙江省)
大同,大同市(山西省)
大庆,大庆市(黑龙江省)
大理,大理白族自治州(云南省)
大连,大连市(辽宁省)
天水,天水市(甘肃省)
天门,天门市(湖北省)
太原,太原市(山西省)
威海,威海市(山东省)
娄底,娄底市(湖南省)
孝感,孝感市(湖北省)
宁德,宁德市(福建省)
宁波,宁波市(浙江省)
安庆,安庆市(安徽省)
安康,安康市(陕西省)
安阳,安阳市(河南省)
安顺,安顺市(贵州省)
定西,定西市(甘肃省)
宜宾,宜宾市(四川省)
宜昌,宜昌市(湖北省)
宜春,宜春市(江西省)
宝鸡,宝鸡市(陕西省)
宣城,宣城市(安徽省)
宿州,宿州市(安徽省)
宿迁,宿迁市(江苏省)
山南,山南地区(西藏自治区)
